"modelo","ppc_estadisticos_fuera_ICr95","ppc_estadisticos_total","elpd_loo","se_elpd_loo","looic","se_looic","pareto_k_mayor_07","pareto_k_max","familia","ajuste","n","delta_elpd_vs_mejor"
"gaussiano_ajustado",12,16,-16470.9498064308,76.0975393427949,32941.8996128616,152.19507868559,0,0.145754967840139,"gaussiano","oportunidad_acumulada",6860,-26.9996628217523
"gaussiano_no_ajustado",12,16,-16772.7311959336,73.6166173741659,33545.4623918671,147.233234748332,0,0.0829639738758491,"gaussiano","ninguno",6884,-9.64910438689549
"negbin_ajustado",6,16,-16443.950143609,64.4353765488208,32887.9002872181,128.870753097642,0,0.157008092815581,"binomial_negativa","oportunidad_acumulada",6860,0
"negbin_no_ajustado",6,16,-16763.0820915467,62.7287110985932,33526.1641830933,125.457422197186,0,0.0777018739931339,"binomial_negativa","ninguno",6884,0
"poisson_ajustado",6,16,-16535.4461584281,83.1759483101149,33070.8923168562,166.35189662023,0,0.183397098561355,"poisson","oportunidad_acumulada",6860,-91.4960148190512
"poisson_no_ajustado",9,16,-16931.0027314515,86.6942399961875,33862.005462903,173.388479992375,0,0.138859578207589,"poisson","ninguno",6884,-167.920639904816
