"modelo","Rhat_max","ESS_bulk_min","ESS_tail_min","divergencias","treedepth_max_observado","transiciones_treedepth_max","E_BFMI_min"
"gaussiano_no_ajustado",1.00146997254523,3880.71774822846,4913.24739944618,0,3,0,0.973820430163529
"gaussiano_ajustado",1.00038335916434,3326.32998907275,4945.28892803935,0,3,0,0.980935771770492
"poisson_no_ajustado",1.00208534120613,3415.36841099651,4396.25643133852,0,3,0,1.01933507033067
"poisson_ajustado",1.00056884140289,4065.57628822858,5081.01409427214,0,3,0,0.99449655777436
"negbin_no_ajustado",1.00041506910187,3941.38010668556,4751.76668954191,0,3,0,0.97596639056614
"negbin_ajustado",1.00063494869166,3623.60334207491,4552.84598631168,0,4,0,1.00614319116651
