"modelo","familia","ajuste","n","estimando","estimacion","ICr95_inferior","ICr95_superior","coeficiente","coeficiente_ICr95_inferior","coeficiente_ICr95_superior","shape_mediana","shape_ICr95_inferior","shape_ICr95_superior"
"gaussiano_no_ajustado","gaussiano","ninguno",6884,"diferencia_de_medias",-0.561312263613978,-0.854328868662824,-0.272317290736217,-0.561312263613978,-0.854328868662824,-0.272317290736217,NA,NA,NA
"gaussiano_ajustado","gaussiano","oportunidad_acumulada",6860,"diferencia_de_medias",-0.545530315113737,-0.827523207430381,-0.275380398757473,-0.545530315113737,-0.827523207430381,-0.275380398757473,NA,NA,NA
