"modelo","estadistico","observado","pred_mediana","pred_ICr95_inferior","pred_ICr95_superior","observado_fuera_ICr95"
"gaussiano_no_ajustado","media",5.71353864032539,5.71197495497591,5.62035785895924,5.80139439081064,FALSE
"gaussiano_no_ajustado","varianza",7.6630972248615,7.66727629515745,7.31662089775526,8.0347115854478,FALSE
"gaussiano_no_ajustado","proporcion_cero",0.0271644392794887,0.0174317257408483,0.0142359093550261,0.020918070889018,TRUE
"gaussiano_no_ajustado","proporcion_predicha_negativa",0,0.0195380592678675,0.0158338175479372,0.0232423009877978,TRUE
"gaussiano_no_ajustado","minimo",0,-4.51396083827903,-6.61644155204783,-3.36211281613966,TRUE
"gaussiano_no_ajustado","maximo",20,15.94420409234,14.7341127047556,17.8942411162641,TRUE
"gaussiano_no_ajustado","cuantil_0.01",0,-0.720599986135547,-0.997045760991094,-0.441732162192512,TRUE
"gaussiano_no_ajustado","cuantil_0.05",1,1.15934945869302,0.993045568133775,1.31371469959914,FALSE
"gaussiano_no_ajustado","cuantil_0.25",4,3.84406003180617,3.73402119709198,3.96263274022644,TRUE
"gaussiano_no_ajustado","cuantil_0.5",6,5.71232522447231,5.60184102645057,5.81476033594599,TRUE
"gaussiano_no_ajustado","cuantil_0.75",8,7.57710416662571,7.46115933330624,7.69152920579472,TRUE
"gaussiano_no_ajustado","cuantil_0.95",10,10.267585014495,10.0951523665331,10.4452823186469,TRUE
"gaussiano_no_ajustado","cuantil_0.99",13,12.1408010458157,11.8796419190619,12.4145241990019,TRUE
"gaussiano_no_ajustado","frecuencia_valor_5",0.163131900058106,0.138582219639744,0.13058904706566,0.147152818128995,TRUE
"gaussiano_no_ajustado","frecuencia_valor_8",0.1178094131319,0.101975595583963,0.094712376525276,0.109674607786171,TRUE
"gaussiano_no_ajustado","frecuencia_valor_12",0.0117664148750726,0.0111853573503777,0.00885749564206856,0.0140906449738524,FALSE
"gaussiano_ajustado","media",5.71472303206997,5.71473991596953,5.62867672326075,5.80606577173932,FALSE
"gaussiano_ajustado","varianza",7.67585843034858,7.68579666806169,7.34817862987099,8.04130304145509,FALSE
"gaussiano_ajustado","proporcion_cero",0.0271137026239067,0.0176384839650146,0.0141399416909621,0.0209912536443149,TRUE
"gaussiano_ajustado","proporcion_predicha_negativa",0,0.0202623906705539,0.0164723032069971,0.0242018950437318,TRUE
"gaussiano_ajustado","minimo",0,-4.86148913245477,-7.03776414548514,-3.55769743019228,TRUE
"gaussiano_ajustado","maximo",20,15.899497689491,14.733257422082,17.9265565427802,TRUE
"gaussiano_ajustado","cuantil_0.01",0,-0.7826476661664,-1.06748713457694,-0.524391335881977,TRUE
"gaussiano_ajustado","cuantil_0.05",1,1.13917326918443,0.951493786240249,1.31701369063174,FALSE
"gaussiano_ajustado","cuantil_0.25",4,3.85417476205812,3.74236077446469,3.96500351251201,TRUE
"gaussiano_ajustado","cuantil_0.5",6,5.72824200587476,5.63449886638086,5.82702128148963,TRUE
"gaussiano_ajustado","cuantil_0.75",8,7.58908074201919,7.47268753245422,7.70120228391651,TRUE
"gaussiano_ajustado","cuantil_0.95",10,10.2474537569499,10.0899684671823,10.4182518366254,TRUE
"gaussiano_ajustado","cuantil_0.99",13,12.118197353828,11.8436303228202,12.3857649481459,TRUE
"gaussiano_ajustado","frecuencia_valor_5",0.163411078717201,0.138192419825073,0.129446064139942,0.146501457725948,TRUE
"gaussiano_ajustado","frecuencia_valor_8",0.117930029154519,0.103061224489796,0.0957725947521866,0.111082361516035,TRUE
"gaussiano_ajustado","frecuencia_valor_12",0.0118075801749271,0.0110787172011662,0.00845116618075802,0.0135604956268222,FALSE
