"modelo","familia","parametro_principal","prior_principal","estimacion_principal","ICr95_principal_inferior","ICr95_principal_superior","prior_alternativo","estimacion_alternativa","ICr95_alternativo_inferior","ICr95_alternativo_superior","diferencia_absoluta","diferencia_relativa","cambio_direccion","Rhat_max_alternativo","ESS_bulk_min_alternativo","ESS_tail_min_alternativo","divergencias_alternativo"
"Pareja estable","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-0.317669150046766,-0.52235146603842,-0.112453850185586,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-0.314734587763579,-0.519392296635428,-0.115926693352194,0.00293456228318728,0.00923779436169758,FALSE,1.0006206684128,4301.91789656269,3760.17185576066,0
"Escolaridad cruda: ninguna o primaria","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",2.36708618290249,2.14941994486875,2.59579754626342,"Intercepto Normal(0,5); grupo Normal(0,2.5)",2.36370075378209,2.14704559600843,2.58505558218914,0.00338542912040651,0.00143020948914304,FALSE,1.00156471481926,3940.01136618783,3465.71713151771,0
"Etnia minoritaria","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",0.610958389028713,0.229460210441722,0.96619771194349,"Intercepto Normal(0,5); grupo Normal(0,2.5)",0.609336938527751,0.226532629976644,0.961744552088265,0.00162145050096296,0.00265394588253499,FALSE,1.00128657744014,3966.04981116603,3567.70422287751,0
"Gestas previas","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-1.97200842490277,-2.59579062030405,-1.45841841580167,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-1.98332792281718,-2.60850076205781,-1.44412713252835,0.0113194979144158,0.0057400859811103,FALSE,1.00071168313327,3109.53882142865,3146.05625686038,0
"Embarazo múltiple","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-1.00886348729665,-1.99115509496543,-0.242886854309571,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-1.00520903426108,-1.92506698738304,-0.284162387178097,0.00365445303556289,0.00362234641413714,FALSE,1.00109736604887,3814.93408616224,3003.3382739331,0
"Embarazo planeado","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-0.580442540704741,-0.884209038057992,-0.297636757208672,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-0.58470593350926,-0.882380822552339,-0.314332790013419,0.00426339280451848,0.00734507294958448,FALSE,1.0009223435114,4304.44958693362,3711.18703841502,0
"Falla anticonceptiva","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-0.984179854322292,-1.40193958779254,-0.619759100233432,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-0.98800489894955,-1.41406119234871,-0.611597936515062,0.00382504462725841,0.00388653009961512,FALSE,1.00086005890009,4125.06553679478,3492.61096009708,0
"Infección urinaria","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-0.406175038761748,-0.617572766404478,-0.188677450587248,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-0.406110232514167,-0.614075328799955,-0.198500344865601,6.48062475807065e-05,0.000159552511592718,FALSE,1.0017158905197,4851.44969332823,4155.92064820237,0
"Compromiso del bienestar fetal","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-0.59633994537223,-1.03439605682819,-0.200394009560001,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-0.591754547144529,-1.03604463152595,-0.201812285030376,0.0045853982277011,0.00768923541561338,FALSE,1.00109948189434,4228.59306384112,3520.31182249436,0
"Trastorno hipertensivo","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-0.297077469020653,-0.597917221792422,-0.0049796785862993,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-0.302435146932532,-0.596030663964634,-0.0206214664813244,0.00535767791187813,0.0180346154474127,FALSE,1.00089702075645,4170.98313408776,3902.95003463078,0
