regla,estadistico,observado,pred_mediana,pred_icr95_inf,pred_icr95_sup,observado_fuera_icr95
Principal: edad - 5; tope 12,global,0.1945353635975523,0.19439305535790521,0.18215098904226557,0.20706204639248613,FALSE
Principal: edad - 5; tope 12,15–19 años,0.181790820165538,0.181790820165538,0.16930022573363432,0.19473664409330324,FALSE
Principal: edad - 5; tope 12,10–14 años,0.4162303664921466,0.4162303664921466,0.3481675392670157,0.48697643979057587,FALSE
Sensibilidad: edad - 6; tope 12,global,0.17532375124519708,0.17532375124519708,0.16265831791660737,0.18656965988330726,FALSE
Sensibilidad: edad - 6; tope 12,15–19 años,0.1655379984951091,0.1656884875846501,0.15214446952595936,0.17758088788562829,FALSE
Sensibilidad: edad - 6; tope 12,10–14 años,0.34554973821989526,0.34554973821989526,0.27486910994764396,0.41361256544502617,FALSE
