"parametro","threshold","media","mediana","DE","ICr95_inferior","ICr95_superior","Rhat","ESS_bulk","ESS_tail"
"b_Intercept[1]","1",-3.60675191603688,-3.60611714685172,0.0748717688212765,-3.7549319064556,-3.46217528490064,1.00092571179629,4181.9341322682,5216.8421773123
"b_Intercept[2]","2",-1.85065622373986,-1.85072490731329,0.0350571907979335,-1.91970698173167,-1.78321155697528,1.00000301344964,7491.4585173949,8221.23273997694
"b_Intercept[3]","3",-0.475855870607338,-0.475576301730266,0.0251474574356437,-0.525387971018799,-0.426454283319852,1.0004461369037,13153.1747448202,8617.10690915748
