"punto_corte","n","eventos_categoria_superior","coeficiente_log_odds","coeficiente_ICr95_inferior","coeficiente_ICr95_superior","OR","ICr95_inferior","ICr95_superior","OR_ordinal_comun","diferencia_OR_menos_OR_ordinal","razon_OR_sobre_OR_ordinal","ICr_corte_solapa_ICr_ordinal","Rhat_coeficiente","ESS_bulk_coeficiente","ESS_tail_coeficiente","Rhat_max","ESS_bulk_min","ESS_tail_min","divergencias","max_treedepth_configurado","treedepth_observado_max","transiciones_en_max_treedepth","E_BFMI_min"
"Sin controles vs categorías superiores",6860,6674,-0.407700030964278,-0.913778499307583,0.177352299270444,0.665178381819528,0.401006156353435,1.19405168268599,0.686474174314088,-0.0212957924945596,0.96897801360723,TRUE,1.00042020813586,6029.99819647238,5424.67770304838,1.00064847590365,3800.4694139305,4863.34048450298,0,15,5,0,0.95780645909737
"Sin controles + inadecuado vs intermedio + adecuado",6860,5910,-0.488391423369424,-0.74348804518674,-0.220590072985086,0.613612643728764,0.475452619665253,0.802045393666482,0.686474174314088,-0.0728615305853237,0.893861221133154,TRUE,1.00006916753168,6369.66854531951,6058.2746144539,1.00087015057498,4326.62676106839,5181.67478817479,0,15,5,0,1.02427842227403
"Sin controles + inadecuado + intermedio vs adecuado",6860,4198,-0.335642726925289,-0.547699017591892,-0.132378039086353,0.714878467279901,0.578278890334945,0.876009768152833,0.686474174314088,0.0284042929658126,1.04137707437311,TRUE,1.00041427011213,7111.32260919542,5496.82674007669,1.00091891570494,4197.76394768498,5195.49889505818,0,15,5,0,0.91109556023084
